album_id,name,release_date,total_tracks,url
7pNCyGj0ZSbBUSHKD7PKIh,Paka Poka Funk,2025-01-24,4,https://open.spotify.com/album/7pNCyGj0ZSbBUSHKD7PKIh
3ra1kh1AmwAFm1jg9dwONE,JOGO DE TOLOS,2024-09-13,5,https://open.spotify.com/album/3ra1kh1AmwAFm1jg9dwONE
5A4NgW1yPi2wdNMTCpljWB,VAPO SOCA,2024-12-06,4,https://open.spotify.com/album/5A4NgW1yPi2wdNMTCpljWB
06a7H7nusNMvM7yL8m3fy1,AURA,2024-07-12,3,https://open.spotify.com/album/06a7H7nusNMvM7yL8m3fy1
0npGPBqY9AtD8NqFSLMF5P,TOMA TOMA,2024-11-08,5,https://open.spotify.com/album/0npGPBqY9AtD8NqFSLMF5P
1kmsUHDC0n611meNgzRkuw,FUNK UNIVERSO,2024-07-03,4,https://open.spotify.com/album/1kmsUHDC0n611meNgzRkuw
5tod76GzFMGREffztRiLyJ,Montagem Lunar Celestia 1.0 (SLOWED),2024-10-14,1,https://open.spotify.com/album/5tod76GzFMGREffztRiLyJ
0idus6ZH4iGMqoM2COZHJs,TRIBAL FUNK,2024-11-22,1,https://open.spotify.com/album/0idus6ZH4iGMqoM2COZHJs
2DNOGCn0szoh9f3rAnhF7b,BAD PARENTING FUNK,2024-10-22,4,https://open.spotify.com/album/2DNOGCn0szoh9f3rAnhF7b
64Qg2tLfJaSj9wSlrIwt8y,UH VEI VEI,2024-10-04,4,https://open.spotify.com/album/64Qg2tLfJaSj9wSlrIwt8y
2XlNOrEu9vuVlb49LatWHx,MONTAGEM FINAL,2024-10-11,1,https://open.spotify.com/album/2XlNOrEu9vuVlb49LatWHx
6Zd0Hg3HKVH7xhBPgESQy1,FUNK DO BOUNCE (Slowed),2024-08-30,1,https://open.spotify.com/album/6Zd0Hg3HKVH7xhBPgESQy1
5hUTWbVLPE7Vo9KtS06U15,Cuando se te moja la tarea 2,2024-06-21,4,https://open.spotify.com/album/5hUTWbVLPE7Vo9KtS06U15
3F7fxAbyvJw7tpFQkLRzLw,BATALLA FINAL,2024-10-25,1,https://open.spotify.com/album/3F7fxAbyvJw7tpFQkLRzLw
4QmDrxVGw99LUJOubfPJz9,SPOOKY,2024-10-24,4,https://open.spotify.com/album/4QmDrxVGw99LUJOubfPJz9
09xRsRc7pX399wCGElOfMT,BRUXO FANTASMA,2024-08-16,4,https://open.spotify.com/album/09xRsRc7pX399wCGElOfMT
1wIgWZma2GdvSrvSA0SmMh,MENINA DE VERMELHO FUNK,2024-10-22,4,https://open.spotify.com/album/1wIgWZma2GdvSrvSA0SmMh
3twWWsHrFb0MIOsZciCYNB,z-beta,2024-09-16,4,https://open.spotify.com/album/3twWWsHrFb0MIOsZciCYNB
58Uel2jPuFAf4bRiWHLYVz,MONTAGEM VOZES PROFUNDAS (TikTok Version),2024-07-12,1,https://open.spotify.com/album/58Uel2jPuFAf4bRiWHLYVz
